scenario,pool_x,pool_y,fee,victim_v,slippage,attacker_in,attacker_profit,victim_honest_out,victim_actual_out,victim_extra_loss,attacker_roi,reverted,price_before,price_after_front,price_after_victim,price_after_back
victim_size,100000.0,100000.0,0.003,10.000000000000002,0.01,0.0,0.0,9.96900609009282,9.96900609009282,0.0,0.0,0,1.0,1.0,0.9998003299061085,0.9998003299061085
victim_size,100000.0,100000.0,0.003,11.374954311306656,0.01,0.0,0.0,11.339543450089838,11.339543450089838,0.0,0.0,0,1.0,1.0,0.9997728808570848,0.9997728808570848
victim_size,100000.0,100000.0,0.003,12.93895855843139,0.01,0.0,0.0,12.898477760850026,12.898477760850026,0.0,0.0,0,1.0,1.0,0.9997416590634338,0.9997416590634338
victim_size,100000.0,100000.0,0.003,14.718006243804725,0.01,0.0,0.0,14.671699321595954,14.671699321595954,0.0,0.0,0,1.0,1.0,0.9997061461937676,0.9997061461937676
victim_size,100000.0,100000.0,0.003,16.74166485768048,0.01,0.0,0.0,16.68865428641326,16.68865428641326,0.0,0.0,0,1.0,1.0,0.9996657527671107,0.9996657527671107
victim_size,100000.0,100000.0,0.003,19.043567285132372,0.01,0.0,0.0,18.982832419837873,18.982832419837873,0.0,0.0,0,1.0,1.0,0.9996198084049925,0.9996198084049925
victim_size,100000.0,100000.0,0.003,21.661970779267484,0.01,0.0,0.0,21.592321576506386,21.592321576506386,0.0,0.0,0,1.0,1.0,0.9995675507534716,0.9995675507534716
victim_size,100000.0,100000.0,0.003,24.64039279070274,0.01,0.0,0.0,24.560437979306585,24.560437979306585,0.0,0.0,0,1.0,1.0,0.9995081128952146,0.9995081128952146
victim_size,100000.0,100000.0,0.003,28.02833422068935,0.01,0.0,0.0,27.93644258888759,27.93644258888759,0.0,0.0,0,1.0,1.0,0.9994405090478983,0.9994405090478983
victim_size,100000.0,100000.0,0.003,31.882102118237427,0.01,0.0,0.0,31.776355234767383,31.776355234767383,0.0,0.0,0,1.0,1.0,0.9993636183183277,0.9993636183183277
victim_size,100000.0,100000.0,0.003,36.26574549433638,0.01,0.0,0.0,36.14387973395959,36.14387973395959,0.0,0.0,0,1.0,1.0,0.999276166251422,0.999276166251422
victim_size,100000.0,100000.0,0.003,41.25211980635516,0.01,0.0,0.0,41.11145497831429,41.11145497831429,0.0,0.0,0,1.0,1.0,0.9991767038792554,0.9991767038792554
victim_size,100000.0,100000.0,0.003,46.924097804183816,0.01,0.0,0.0,46.76144894989548,46.76144894989548,0.0,0.0,0,1.0,1.0,0.9990635839372484,0.9990635839372484
victim_size,100000.0,100000.0,0.003,53.375946862187575,0.01,0.0,0.0,53.18751484995638,53.18751484995638,0.0,0.0,0,1.0,1.0,0.9989349338720092,0.9989349338720092
victim_size,100000.0,100000.0,0.003,60.71489568801154,0.01,0.0,0.0,60.49613102858676,60.49613102858676,0.0,0.0,0,1.0,1.0,0.9987886252177695,0.9987886252177695
victim_size,100000.0,100000.0,0.003,69.06291644668806,0.01,0.0,0.0,68.80834920778445,68.80834920778445,0.0,0.0,0,1.0,1.0,0.9986222388654765,0.9986222388654765
victim_size,100000.0,100000.0,0.003,78.55875191866662,0.01,0.0,0.0,78.26177863081845,78.26177863081845,0.0,0.0,0,1.0,1.0,0.998433025689966,0.998433025689966
victim_size,100000.0,100000.0,0.003,89.36022138281058,0.01,0.0,0.0,89.01283727641815,89.01283727641815,0.0,0.0,0,1.0,1.0,0.9982178619359271,0.9982178619359271
victim_size,100000.0,100000.0,0.003,101.64684354777191,0.01,0.0,0.0,101.23930517865922,101.23930517865922,0.0,0.0,0,1.0,1.0,0.99797319869229,0.99797319869229
victim_size,100000.0,100000.0,0.003,115.62282012444409,0.01,0.0,0.0,115.14321922233557,115.14321922233557,0.0,0.0,0,1.0,1.0,0.9976950047070937,0.9976950047070937
